Date,Facility_ID,Energy_Consumption_kWh,Cooling_Load_kWh,PUE,Temperature_C,Humidity_Percent,Carbon_Emission_kg
2023-01-10,SIN-Core-01,9716.63,5056.83,1.2,19.9,53.6,4080.98
2023-01-10,FRA-Core-01,12701.01,3841.7,1.25,23.4,54.0,5334.42
2023-01-10,MUM-Zone-A,14549.91,4701.76,1.54,23.7,48.4,6110.96
2023-01-10,LHR-Core-02,9373.59,5479.93,1.21,22.3,45.9,3936.91
2023-01-11,DXB-Core-01,7101.27,4258.05,1.26,20.1,54.8,2982.53
2023-01-11,DXB-Edge-02,7824.83,3093.43,1.63,23.8,51.9,3286.43
2023-01-11,SIN-Core-01,13548.53,5681.48,1.19,23.6,50.6,5690.38
2023-01-11,FRA-Core-01,5561.89,2418.3,1.24,20.5,45.0,2335.99
2023-01-11,MUM-Zone-A,5707.44,3402.48,1.77,21.8,45.3,2397.13
2023-01-11,LHR-Core-02,6074.9,2011.33,1.26,24.4,53.8,2551.46
2023-01-12,DXB-Core-01,13692.37,7038.19,1.34,20.4,49.8,5750.79
2023-01-12,DXB-Edge-02,14800.05,7181.52,1.49,23.9,53.1,6216.02
2023-01-12,SIN-Core-01,9576.85,5477.68,1.3,21.9,49.7,4022.28
2023-01-12,FRA-Core-01,5864.86,2254.74,1.29,22.4,48.2,2463.24
2023-01-12,MUM-Zone-A,6368.28,2255.09,1.47,20.6,53.6,2674.68
2023-01-12,LHR-Core-02,13255.63,4911.8,1.28,20.3,50.0,5567.37
2023-01-13,DXB-Core-01,11335.86,4841.19,1.35,19.3,51.8,4761.06
2023-01-13,DXB-Edge-02,8918.41,2788.43,1.52,20.8,52.9,3745.73
2023-01-13,SIN-Core-01,11492.02,4784.8,1.21,24.7,54.7,4826.65
2023-01-13,FRA-Core-01,7606.68,2624.5,1.19,32.6,46.1,3194.81
2023-01-13,MUM-Zone-A,12448.62,4254.79,1.68,23.6,47.7,5228.42
2023-01-13,LHR-Core-02,11855.4,3784.97,1.2,22.0,53.0,4979.27
2023-01-14,DXB-Core-01,5278.63,1828.96,1.19,21.8,52.1,2217.03
2023-01-14,DXB-Edge-02,7455.0,2893.5,1.84,20.7,52.4,3131.1
2023-01-14,SIN-Core-01,8225.9,2691.68,1.32,21.2,48.5,3454.88
2023-01-14,FRA-Core-01,12498.34,5035.81,1.34,21.6,54.3,5249.3
2023-01-14,MUM-Zone-A,14328.73,6186.08,1.71,22.3,49.1,6018.07
2023-01-14,LHR-Core-02,11672.46,6051.49,1.3,22.0,46.7,4902.43
2023-01-15,DXB-Core-01,13535.05,4505.67,1.2,22.9,46.0,5684.72
2023-01-15,DXB-Edge-02,9709.18,5028.44,1.82,21.1,51.1,4077.86
2023-01-15,SIN-Core-01,12577.61,4276.61,1.2,23.4,51.2,5282.6
2023-01-15,FRA-Core-01,13949.93,7421.33,1.31,24.8,54.1,5858.97
2023-01-15,MUM-Zone-A,6047.8,2314.34,1.8,19.8,47.4,2540.08
2023-01-15,LHR-Core-02,7230.11,3348.93,1.2,25.0,49.3,3036.65
2023-01-16,DXB-Core-01,10899.82,4622.59,1.2,23.0,50.4,4577.92
2023-01-16,DXB-Edge-02,14138.22,4755.93,1.8,21.2,51.4,5938.05
2023-01-16,SIN-Core-01,12974.63,5274.97,1.19,19.3,53.0,5449.34
2023-01-16,FRA-Core-01,10270.24,5672.23,1.22,23.4,52.1,4313.5
2023-01-16,MUM-Zone-A,5456.95,2749.23,1.56,21.2,50.6,2291.92
2023-01-16,LHR-Core-02,11474.83,4664.48,1.19,21.1,51.1,4819.43
2023-01-17,DXB-Core-01,12483.96,4930.36,1.31,21.8,50.1,5243.26
2023-01-17,DXB-Edge-02,12772.69,3891.06,1.59,20.5,51.6,5364.53
2023-01-17,SIN-Core-01,6015.61,2649.12,1.23,22.2,49.6,2526.56
2023-01-17,FRA-Core-01,7705.72,2600.95,1.27,20.0,49.9,3236.4
2023-01-17,MUM-Zone-A,6946.51,4080.23,1.55,24.5,50.8,2917.53
2023-01-17,LHR-Core-02,8388.06,4441.55,1.21,23.0,50.8,3522.98
2023-01-18,DXB-Core-01,12652.58,5195.71,1.23,19.3,47.8,5314.08
2023-01-18,DXB-Edge-02,7909.74,4554.23,1.46,21.0,51.6,3322.09
2023-01-18,SIN-Core-01,11626.72,5192.6,1.21,23.1,52.6,4883.22
2023-01-18,FRA-Core-01,11723.84,6712.47,1.25,24.5,47.3,4924.01
2023-01-18,MUM-Zone-A,11213.1,5573.75,1.58,21.6,48.8,4709.5
2023-01-18,LHR-Core-02,8763.45,3939.43,1.32,19.6,54.9,3680.65
2023-01-19,DXB-Core-01,6532.29,3092.74,1.24,23.0,47.7,2743.56
2023-01-19,DXB-Edge-02,12343.82,3933.05,1.62,23.3,49.4,5184.4
2023-01-19,SIN-Core-01,14389.1,4723.19,1.25,21.3,54.0,6043.42
2023-01-19,FRA-Core-01,13781.16,4149.53,1.21,19.5,48.5,5788.09
2023-01-19,MUM-Zone-A,12987.69,4394.08,1.67,22.4,53.5,5454.83
2023-01-19,LHR-Core-02,7759.45,2856.4,1.33,24.1,52.9,3258.97
2023-01-20,DXB-Core-01,14947.69,6659.44,1.27,20.0,46.0,6278.03
2023-01-20,DXB-Edge-02,6294.42,3358.87,1.63,20.1,51.6,2643.66
2023-01-20,SIN-Core-01,13075.72,6677.95,1.29,22.2,51.5,5491.8
2023-01-20,FRA-Core-01,10660.82,6140.17,1.24,20.4,53.5,4477.54
2023-01-20,MUM-Zone-A,14830.21,8615.9,1.73,19.4,54.6,6228.69
2023-01-20,LHR-Core-02,13643.95,7874.48,1.28,21.9,51.0,5730.46
2023-01-21,DXB-Core-01,11334.46,6628.14,1.3,22.2,51.3,4760.47
2023-01-21,DXB-Edge-02,5235.38,2682.05,1.57,21.8,48.0,2198.86
2023-01-21,SIN-Core-01,7920.81,3359.2,1.28,19.5,46.2,3326.74
2023-01-21,FRA-Core-01,9948.99,5081.92,1.23,22.9,53.3,4178.58
2023-01-21,MUM-Zone-A,10809.44,6294.71,1.58,20.0,49.1,4539.97
2023-01-21,LHR-Core-02,14621.01,4503.36,1.29,19.9,50.1,6140.82
2023-01-22,DXB-Core-01,10805.04,6151.09,1.29,20.9,54.5,4538.12
2023-01-22,DXB-Edge-02,12566.91,5598.51,1.48,21.8,45.2,5278.1
2023-01-22,SIN-Core-01,12323.24,3767.49,1.35,21.0,45.7,5175.76
2023-01-22,FRA-Core-01,13323.71,4303.86,1.32,22.7,46.5,5595.96
2023-01-22,MUM-Zone-A,8753.39,3831.38,1.65,23.1,50.4,3676.42
2023-01-22,LHR-Core-02,14730.97,7559.22,1.27,22.5,54.6,6187.01
2023-01-23,DXB-Core-01,10681.49,5279.52,1.28,21.6,51.8,4486.23
2023-01-23,DXB-Edge-02,10974.54,3385.48,1.61,20.3,51.4,4609.31
2023-01-23,SIN-Core-01,8597.3,3278.15,1.33,21.9,50.3,3610.87
2023-01-23,FRA-Core-01,6467.54,3489.03,1.24,22.1,50.1,2716.37
2023-01-23,MUM-Zone-A,13647.74,7183.06,1.5,21.5,51.0,5732.05
2023-01-23,LHR-Core-02,13487.74,5689.93,1.19,23.5,52.0,5664.85
2023-01-24,DXB-Core-01,10559.1,5388.49,1.32,21.1,48.7,4434.82
2023-01-24,DXB-Edge-02,11132.82,6424.26,1.63,23.3,49.5,4675.79
2023-01-24,SIN-Core-01,13877.07,6539.71,1.29,24.0,49.0,5828.37
2023-01-24,FRA-Core-01,7160.01,4293.33,1.31,24.5,50.8,3007.2
2023-01-24,MUM-Zone-A,11788.39,4940.09,1.66,21.0,50.9,4951.12
2023-01-24,LHR-Core-02,10504.72,5722.84,1.26,21.3,49.3,4411.98
2023-01-25,DXB-Core-01,12697.88,4628.08,1.2,23.9,50.9,5333.11
2023-01-25,DXB-Edge-02,14285.48,7579.66,1.48,20.8,51.3,5999.9
2023-01-25,SIN-Core-01,9911.25,5754.41,1.25,23.1,54.7,4162.73
2023-01-25,FRA-Core-01,14641.96,5186.89,1.27,22.3,51.1,6149.62
2023-01-25,MUM-Zone-A,12951.33,7231.15,1.73,30.4,48.1,5439.56
2023-01-25,LHR-Core-02,5338.55,3065.14,1.29,22.2,45.2,2242.19
2023-01-26,DXB-Core-01,7070.69,2202.43,1.23,23.6,46.4,2969.69
2023-01-26,DXB-Edge-02,14658.46,7338.02,1.77,25.0,48.8,6156.55
2023-01-26,SIN-Core-01,7106.51,2453.67,1.34,21.1,54.2,2984.73
2023-01-26,FRA-Core-01,8034.74,3469.67,1.32,21.0,46.7,3374.59
2023-01-26,MUM-Zone-A,9225.14,4473.37,1.56,23.9,54.2,3874.56
2023-01-26,LHR-Core-02,5889.21,2828.3,1.28,20.3,52.9,2473.47
2023-01-27,DXB-Core-01,9229.39,4138.24,1.34,20.5,54.2,3876.34
2023-01-27,DXB-Edge-02,13153.45,5335.65,1.69,23.9,48.9,5524.45
2023-01-27,SIN-Core-01,10956.17,5822.84,1.28,23.6,51.9,4601.59
2023-01-27,FRA-Core-01,7607.23,4528.74,1.21,24.5,51.0,3195.04
2023-01-27,MUM-Zone-A,6842.31,2710.21,1.72,22.5,48.3,2873.77
2023-01-27,LHR-Core-02,6758.75,3966.62,1.23,20.5,49.3,2838.68
2023-01-28,DXB-Core-01,11855.03,5966.33,1.27,22.0,54.1,4979.11
2023-01-28,DXB-Edge-02,12803.16,6258.87,1.73,20.2,49.0,5377.33
2023-01-28,SIN-Core-01,12340.86,4435.02,1.25,19.0,53.5,5183.16
2023-01-28,FRA-Core-01,8659.99,4909.8,1.27,20.4,45.7,3637.2
2023-01-28,MUM-Zone-A,8311.89,3496.96,1.46,21.4,50.6,3490.99
2023-01-28,LHR-Core-02,7860.88,3126.57,1.21,24.3,45.9,3301.57
2023-01-29,DXB-Core-01,7436.83,2811.21,1.3,24.0,53.6,3123.47
2023-01-29,DXB-Edge-02,13082.94,6805.88,1.71,22.9,45.2,5494.84
2023-01-29,SIN-Core-01,7091.21,3526.67,1.31,23.5,54.2,2978.31
2023-01-29,FRA-Core-01,9501.06,5021.85,1.31,23.0,52.5,3990.45
2023-01-29,MUM-Zone-A,10864.83,4002.45,1.59,23.7,54.9,4563.23
2023-01-29,LHR-Core-02,7534.15,3639.5,1.2,19.4,54.6,3164.34
2023-01-30,DXB-Core-01,9235.92,5537.37,1.33,22.9,52.0,3879.09
2023-01-30,DXB-Edge-02,9843.42,4989.55,1.71,21.5,53.7,4134.24
2023-01-30,SIN-Core-01,5455.02,2597.87,1.25,19.0,54.6,2291.11
2023-01-30,FRA-Core-01,13728.78,6909.72,1.22,23.0,50.6,5766.09
2023-01-30,MUM-Zone-A,8562.38,2657.35,1.7,21.5,53.7,3596.2
2023-01-30,LHR-Core-02,8451.34,4264.02,1.27,19.1,49.5,3549.56
2023-01-31,DXB-Core-01,9122.09,3721.04,1.35,19.1,48.2,3831.28
2023-01-31,DXB-Edge-02,7887.12,4648.61,1.46,19.5,52.4,3312.59
2023-01-31,SIN-Core-01,8993.28,4727.77,1.21,23.5,47.8,3777.18
2023-01-31,FRA-Core-01,11767.18,4166.74,1.31,23.7,51.2,4942.21
2023-01-31,MUM-Zone-A,12723.28,4393.62,1.61,21.3,46.9,5343.78
2023-01-31,LHR-Core-02,10993.5,5461.3,1.19,23.8,52.3,4617.27
2023-02-01,DXB-Core-01,5121.12,1693.39,1.22,21.6,51.9,2150.87
2023-02-01,DXB-Edge-02,12873.47,4229.91,1.48,23.8,53.7,5406.86
2023-02-01,SIN-Core-01,9057.85,5366.08,1.24,24.3,45.3,3804.3
2023-02-01,FRA-Core-01,5020.86,2995.22,1.3,24.5,50.9,2108.76
2023-02-01,MUM-Zone-A,8744.93,4098.3,1.76,24.7,50.1,3672.87
2023-02-01,LHR-Core-02,5606.17,2765.12,1.2,24.3,48.9,2354.59
2023-02-02,DXB-Core-01,13565.71,5948.37,1.19,21.5,47.9,5697.6
2023-02-02,DXB-Edge-02,11207.89,5717.39,1.84,23.8,51.2,4707.32
2023-02-02,SIN-Core-01,11873.84,3784.77,1.23,23.8,52.2,4987.01
2023-02-02,FRA-Core-01,11392.51,4775.73,1.2,22.7,51.3,4784.85
2023-02-02,MUM-Zone-A,12815.7,4323.41,1.78,19.6,45.5,5382.59
2023-02-02,LHR-Core-02,11850.39,4194.85,1.26,23.7,54.1,4977.16
2023-02-03,DXB-Core-01,5894.87,2681.89,1.24,20.2,49.8,2475.85
2023-02-03,DXB-Edge-02,6554.11,3635.42,1.71,19.3,50.8,2752.73
2023-02-03,SIN-Core-01,10443.95,4834.21,1.29,21.3,45.3,4386.46
2023-02-03,FRA-Core-01,10864.44,3943.28,1.33,21.5,49.7,4563.07
2023-02-03,MUM-Zone-A,8021.25,4396.91,1.83,22.2,49.4,3368.92
2023-02-03,LHR-Core-02,6160.85,2598.86,1.29,20.9,46.4,2587.56
2023-02-04,DXB-Core-01,7629.01,4119.84,1.29,24.6,50.8,3204.18
2023-02-04,DXB-Edge-02,10306.18,5957.59,1.49,20.7,53.0,4328.59
2023-02-04,SIN-Core-01,10043.93,3257.45,1.26,21.2,53.4,4218.45
2023-02-04,FRA-Core-01,6231.49,2841.64,1.19,20.4,53.9,2617.23
2023-02-04,MUM-Zone-A,12196.2,5181.92,1.72,23.7,48.3,5122.4
2023-02-04,LHR-Core-02,5091.78,1659.28,1.22,21.0,49.4,2138.55
2023-02-05,DXB-Core-01,9670.22,5741.2,1.24,22.0,50.1,4061.49
2023-02-05,DXB-Edge-02,13873.37,5947.31,1.68,24.6,48.6,5826.82
2023-02-05,SIN-Core-01,12988.28,6247.58,1.35,24.0,50.8,5455.08
2023-02-05,FRA-Core-01,12068.27,4113.73,1.21,20.7,52.3,5068.67
2023-02-05,MUM-Zone-A,6385.41,3737.35,1.61,28.9,52.7,2681.87
2023-02-05,LHR-Core-02,13260.71,7013.18,1.23,22.1,50.6,5569.5
2023-02-06,DXB-Core-01,11682.16,3533.55,1.34,20.9,52.8,4906.51
2023-02-06,DXB-Edge-02,14256.84,6000.71,1.67,19.1,50.3,5987.87
2023-02-06,SIN-Core-01,8151.8,3947.68,1.31,20.3,49.5,3423.76
2023-02-06,FRA-Core-01,10465.42,3621.44,1.23,23.5,48.8,4395.48
2023-02-06,MUM-Zone-A,7305.0,3913.01,1.56,24.6,52.8,3068.1
2023-02-06,LHR-Core-02,8387.22,3418.25,1.28,24.8,52.0,3522.63
2023-02-07,DXB-Core-01,9065.85,4559.86,1.26,19.1,53.1,3807.66
2023-02-07,DXB-Edge-02,10712.33,4734.41,1.66,19.2,51.8,4499.18
2023-02-07,SIN-Core-01,11231.03,5666.82,1.22,23.2,53.7,4717.03
2023-02-07,FRA-Core-01,12022.82,4859.5,1.19,19.5,53.2,5049.58
2023-02-07,MUM-Zone-A,13347.1,4005.3,1.79,24.9,51.9,5605.78
2023-02-07,LHR-Core-02,7931.53,4505.71,1.34,24.3,47.2,3331.24
2023-02-08,DXB-Core-01,5684.53,2473.33,1.21,24.0,51.0,2387.5
2023-02-08,DXB-Edge-02,12260.44,4568.75,1.68,23.4,50.6,5149.39
2023-02-08,SIN-Core-01,12286.92,7016.9,1.3,21.5,54.4,5160.51
2023-02-08,FRA-Core-01,8615.97,2790.18,1.22,19.9,53.7,3618.71
2023-02-08,MUM-Zone-A,13131.47,7824.26,1.53,20.6,50.9,5515.22
2023-02-08,LHR-Core-02,8911.96,3461.39,1.19,22.4,49.5,3743.02
2023-02-09,DXB-Core-01,10607.26,4344.27,1.19,19.8,46.5,4455.05
2023-02-09,DXB-Edge-02,11150.59,6665.91,1.53,24.2,48.2,4683.25
2023-02-09,SIN-Core-01,6188.9,2787.18,1.28,24.5,53.6,2599.34
2023-02-09,FRA-Core-01,6585.04,2526.95,1.26,22.2,51.6,2765.72
2023-02-09,MUM-Zone-A,14709.13,6616.19,1.56,19.7,48.8,6177.83
2023-02-09,LHR-Core-02,13879.87,7170.35,1.21,22.2,49.1,5829.54
2023-02-10,DXB-Core-01,8431.6,3175.29,1.18,21.0,47.9,3541.27
2023-02-10,DXB-Edge-02,7799.92,3425.95,1.85,20.7,45.7,3275.97
2023-02-10,SIN-Core-01,10233.22,5111.18,1.34,20.2,54.2,4297.95
2023-02-10,FRA-Core-01,7633.64,2443.62,1.25,20.9,53.1,3206.13
2023-02-10,MUM-Zone-A,13748.68,7775.9,1.6,23.9,48.7,5774.45
2023-02-10,LHR-Core-02,12763.86,6604.66,1.21,21.1,51.8,5360.82
2023-02-11,DXB-Core-01,10266.3,5248.67,1.19,30.2,54.9,4311.84
2023-02-11,DXB-Edge-02,14614.51,7951.9,1.82,23.7,54.2,6138.1
2023-02-11,SIN-Core-01,7769.4,2453.79,1.19,20.0,48.4,3263.15
2023-02-11,FRA-Core-01,5161.3,2388.53,1.25,21.7,48.4,2167.74
2023-02-11,MUM-Zone-A,5088.28,1821.71,1.53,24.4,52.8,2137.08
2023-02-11,LHR-Core-02,8011.06,4334.6,1.23,24.9,46.2,3364.64
2023-02-12,DXB-Core-01,13824.74,5054.59,1.18,23.5,51.5,5806.39
2023-02-12,DXB-Edge-02,6821.79,3457.3,1.49,24.0,54.2,2865.15
2023-02-12,SIN-Core-01,6089.14,2522.71,1.29,20.5,53.9,2557.44
2023-02-12,FRA-Core-01,6729.2,2347.96,1.24,20.6,45.4,2826.26
2023-02-12,MUM-Zone-A,13108.01,7463.59,1.61,24.6,47.8,5505.36
2023-02-12,LHR-Core-02,7253.7,2415.83,1.29,22.6,54.5,3046.55
2023-02-13,DXB-Core-01,7108.49,3713.37,1.22,20.2,49.2,2985.57
2023-02-13,DXB-Edge-02,10209.01,5477.12,1.61,22.3,46.4,4287.78
2023-02-13,SIN-Core-01,6495.34,2687.98,1.31,21.4,48.2,2728.04
2023-02-13,FRA-Core-01,9409.54,4630.91,1.19,32.3,53.0,3952.01
2023-02-13,MUM-Zone-A,5931.26,3030.28,1.47,23.6,46.1,2491.13
2023-02-13,LHR-Core-02,11900.69,5895.45,1.34,22.9,49.4,4998.29
2023-02-14,DXB-Core-01,11736.67,6145.69,1.32,21.9,48.2,4929.4
2023-02-14,DXB-Edge-02,7085.33,2978.83,1.49,19.1,48.9,2975.84
2023-02-14,SIN-Core-01,11020.27,4642.15,1.32,22.2,54.1,4628.51
2023-02-14,FRA-Core-01,7342.83,2878.55,1.2,20.0,50.0,3083.99
2023-02-14,MUM-Zone-A,8410.57,2842.55,1.61,22.9,49.9,3532.44
2023-02-14,LHR-Core-02,10258.27,4931.09,1.29,24.5,51.8,4308.47
2023-02-15,DXB-Core-01,9519.41,3576.92,1.3,22.2,53.1,3998.15
2023-02-15,DXB-Edge-02,5915.7,3466.47,1.69,20.8,45.8,2484.6
2023-02-15,SIN-Core-01,8419.26,4036.15,1.3,21.7,54.2,3536.09
2023-02-15,FRA-Core-01,14435.99,6484.96,1.23,19.4,50.2,6063.12
2023-02-15,MUM-Zone-A,8100.42,3099.31,1.52,23.6,52.7,3402.18
2023-02-15,LHR-Core-02,13039.47,7421.3,1.2,23.9,53.9,5476.58
2023-02-16,DXB-Core-01,11707.92,4326.83,1.3,21.6,50.2,4917.33
2023-02-16,DXB-Edge-02,10033.45,5898.82,1.53,19.4,48.1,4214.05
2023-02-16,SIN-Core-01,10108.47,3192.3,1.22,20.2,46.1,4245.56
2023-02-16,FRA-Core-01,8096.76,3436.83,1.32,21.4,52.9,3400.64
2023-02-16,MUM-Zone-A,14365.65,6164.8,1.53,20.4,47.9,6033.57
2023-02-16,LHR-Core-02,5220.17,2422.49,1.19,19.4,54.0,2192.47
2023-02-17,DXB-Core-01,13427.13,6977.25,1.27,20.6,47.5,5639.4
2023-02-17,DXB-Edge-02,10014.32,5100.82,1.59,24.8,47.5,4206.02
2023-02-17,SIN-Core-01,7343.69,2507.38,1.31,20.9,49.2,3084.35
2023-02-17,FRA-Core-01,10792.12,6163.71,1.22,22.2,50.0,4532.69
2023-02-17,MUM-Zone-A,10702.55,5957.59,1.59,19.8,52.2,4495.07
2023-02-17,LHR-Core-02,7330.96,3285.2,1.27,20.1,45.9,3079.0
2023-02-18,DXB-Core-01,11270.25,4907.65,1.34,20.7,49.3,4733.5
2023-02-18,DXB-Edge-02,6003.98,3217.27,1.7,24.3,51.7,2521.67
2023-02-18,SIN-Core-01,11614.31,4734.63,1.19,20.7,45.5,4878.01
2023-02-18,FRA-Core-01,9306.01,5527.45,1.27,20.8,48.8,3908.52
2023-02-18,MUM-Zone-A,5889.66,2163.82,1.84,21.5,46.8,2473.66
2023-02-18,LHR-Core-02,10966.83,3625.07,1.28,19.5,53.6,4606.07
2023-02-19,DXB-Core-01,13182.64,4053.23,1.31,19.6,51.0,5536.71
2023-02-19,DXB-Edge-02,12521.43,5012.15,1.77,20.8,50.6,5259.0
2023-02-19,SIN-Core-01,8258.42,4688.52,1.28,20.8,51.2,3468.54
2023-02-19,FRA-Core-01,12341.97,4360.09,1.29,24.2,50.7,5183.63
2023-02-19,MUM-Zone-A,7016.18,3136.4,1.79,22.1,54.4,2946.8
2023-02-19,LHR-Core-02,5242.92,2626.75,1.25,22.3,52.2,2202.03
2023-02-20,DXB-Core-01,13678.46,7272.11,1.2,19.6,46.8,5744.95
2023-02-20,DXB-Edge-02,10748.49,4559.94,1.8,23.8,45.9,4514.37
2023-02-20,SIN-Core-01,5852.6,2970.26,1.21,20.2,47.3,2458.09
2023-02-20,FRA-Core-01,13409.35,7651.25,1.31,24.2,53.8,5631.93
2023-02-20,MUM-Zone-A,12746.95,6338.08,1.81,25.0,49.2,5353.72
2023-02-20,LHR-Core-02,5645.26,3164.54,1.18,20.7,50.4,2371.01
2023-02-21,DXB-Core-01,6906.91,2482.91,1.31,20.4,52.7,2900.9
2023-02-21,DXB-Edge-02,6308.11,3627.74,1.69,24.0,52.6,2649.41
2023-02-21,SIN-Core-01,13700.0,4119.7,1.27,23.9,52.6,5754.0
2023-02-21,FRA-Core-01,6820.19,2821.57,1.19,19.1,54.3,2864.48
2023-02-21,MUM-Zone-A,7500.09,2386.12,1.56,22.1,45.9,3150.04
2023-02-21,LHR-Core-02,6759.99,2592.79,1.21,33.8,45.3,2839.2
2023-02-22,DXB-Core-01,9749.16,5787.39,1.28,22.7,51.6,4094.65
2023-02-22,DXB-Edge-02,8691.25,3173.52,1.76,19.2,46.4,3650.32
2023-02-22,SIN-Core-01,8249.01,2880.61,1.27,23.8,53.4,3464.58
2023-02-22,FRA-Core-01,13373.38,5325.51,1.29,20.5,47.9,5616.82
2023-02-22,MUM-Zone-A,11829.56,6575.44,1.59,23.6,46.6,4968.42
2023-02-22,LHR-Core-02,6680.46,3539.8,1.29,22.6,53.5,2805.79
2023-02-23,DXB-Core-01,8132.27,4389.59,1.33,22.3,51.0,3415.56
