Asset_ID,Facility_ID,Asset_Type,Installation_Date,Power_Consumption_kW,Age_Years
AST-1085,DXB-Edge-02,Fire Panel,2021-03-03,21.88,5.2
AST-1086,FRA-Core-01,Router,2021-10-17,66.98,4.6
AST-1087,DXB-Edge-02,CRAC,2021-10-15,91.98,4.6
AST-1088,LHR-Core-02,Generator,2020-12-04,32.04,5.5
AST-1089,DXB-Core-01,UPS,2017-02-24,83.52,9.2
AST-1090,LHR-Core-02,Router,2015-06-14,108.72,10.9
AST-1091,DXB-Edge-02,Fire Panel,2020-06-13,15.93,5.9
AST-1092,DXB-Edge-02,Fire Panel,2018-06-17,30.15,7.9
AST-1093,LHR-Core-02,UPS,2015-01-09,105.88,11.4
AST-1094,FRA-Core-01,Router,2023-03-15,71.45,3.2
AST-1095,DXB-Core-01,Fire Panel,2016-07-16,116.38,9.8
AST-1096,FRA-Core-01,Fire Panel,2019-06-29,19.99,6.9
AST-1097,DXB-Core-01,UPS,2017-11-05,62.43,8.5
AST-1098,SIN-Core-01,Router,2022-02-06,41.83,4.3
AST-1099,LHR-Core-02,Fire Panel,2020-12-30,41.22,5.4
AST-1100,SIN-Core-01,UPS,2017-01-21,102.48,9.3
AST-1101,DXB-Core-01,Router,2023-02-06,18.0,3.3
AST-1102,DXB-Core-01,Router,2016-06-07,96.48,9.9
AST-1103,DXB-Core-01,UPS,2017-12-29,35.59,8.4
AST-1104,DXB-Edge-02,CRAC,2016-03-29,56.21,10.1
AST-1105,FRA-Core-01,PDU,2021-12-19,77.98,4.4
AST-1106,FRA-Core-01,UPS,2017-06-30,12.21,8.9
AST-1107,DXB-Edge-02,PDU,2022-12-21,40.5,3.4
AST-1108,FRA-Core-01,Generator,2015-02-04,30.73,11.3
AST-1109,SIN-Core-01,CRAC,2018-05-01,27.16,8.0
AST-1110,DXB-Core-01,Router,2018-09-16,48.48,7.7
AST-1111,FRA-Core-01,CRAC,2018-06-26,81.8,7.9
AST-1112,LHR-Core-02,Router,2021-04-22,49.73,5.1
AST-1113,MUM-Zone-A,PDU,2023-01-15,64.39,3.3
AST-1114,FRA-Core-01,CRAC,2016-07-31,21.25,9.8
AST-1115,SIN-Core-01,Generator,2018-12-14,64.45,7.4
AST-1116,LHR-Core-02,Fire Panel,2022-10-02,102.23,3.6
AST-1117,DXB-Core-01,Chiller,2018-06-04,40.3,8.0
AST-1118,LHR-Core-02,PDU,2022-12-27,57.18,3.4
AST-1119,LHR-Core-02,UPS,2016-06-19,39.73,9.9
AST-1120,FRA-Core-01,PDU,2021-10-27,99.08,4.6
AST-1121,DXB-Edge-02,Fire Panel,2016-06-18,25.19,9.9
AST-1122,DXB-Core-01,UPS,2018-08-15,110.61,7.8
AST-1123,DXB-Edge-02,UPS,2018-06-04,50.97,8.0
AST-1124,DXB-Core-01,CRAC,2019-04-13,91.74,7.1
AST-1125,DXB-Edge-02,PDU,2022-08-07,75.62,3.8
AST-1126,LHR-Core-02,Router,2015-01-31,26.86,11.3
AST-1127,SIN-Core-01,Fire Panel,2018-09-05,29.42,7.7
AST-1128,FRA-Core-01,CRAC,2019-01-08,22.51,7.4
AST-1129,DXB-Core-01,Generator,2018-11-09,54.06,7.5
AST-1130,MUM-Zone-A,Fire Panel,2015-12-04,13.51,10.5
AST-1131,SIN-Core-01,Fire Panel,2022-11-18,46.39,3.5
AST-1132,DXB-Core-01,Generator,2022-01-27,91.35,4.3
AST-1133,LHR-Core-02,PDU,2015-06-25,37.32,10.9
AST-1134,SIN-Core-01,Chiller,2015-07-01,92.65,10.9
AST-1135,SIN-Core-01,Generator,2021-01-25,96.03,5.3
AST-1136,LHR-Core-02,Fire Panel,2019-10-30,85.77,6.6
AST-1137,LHR-Core-02,Chiller,2022-06-13,77.51,3.9
AST-1138,LHR-Core-02,Chiller,2016-07-15,83.99,9.8
AST-1139,MUM-Zone-A,Chiller,2019-11-16,104.55,6.5
AST-1140,SIN-Core-01,PDU,2019-09-18,84.82,6.7
AST-1141,DXB-Core-01,Router,2019-07-16,79.84,6.8
AST-1142,DXB-Edge-02,Router,2016-02-01,78.06,10.3
AST-1143,DXB-Edge-02,UPS,2016-12-07,91.98,9.4
AST-1144,LHR-Core-02,UPS,2017-06-23,46.69,8.9
AST-1145,DXB-Edge-02,Generator,2018-09-11,30.11,7.7
AST-1146,DXB-Core-01,Generator,2016-12-12,90.01,9.4
AST-1147,SIN-Core-01,Fire Panel,2021-04-07,56.79,5.1
AST-1148,MUM-Zone-A,PDU,2020-11-01,34.85,5.5
AST-1149,DXB-Edge-02,Chiller,2019-09-18,101.35,6.7
AST-1150,LHR-Core-02,Generator,2020-02-09,84.73,6.3
AST-1151,LHR-Core-02,CRAC,2020-06-06,12.13,5.9
AST-1152,LHR-Core-02,Router,2017-03-14,98.92,9.2
AST-1153,FRA-Core-01,Generator,2022-01-13,75.7,4.3
AST-1154,DXB-Core-01,Router,2022-04-14,43.4,4.1
AST-1155,LHR-Core-02,Router,2021-05-31,70.54,5.0
AST-1156,MUM-Zone-A,Router,2018-06-15,33.34,7.9
AST-1157,MUM-Zone-A,Router,2019-05-20,80.57,7.0
AST-1158,LHR-Core-02,Fire Panel,2018-10-03,26.47,7.6
AST-1159,MUM-Zone-A,Chiller,2015-10-16,43.48,10.6
AST-1160,DXB-Core-01,Router,2021-05-20,98.81,5.0
AST-1161,MUM-Zone-A,CRAC,2018-08-16,47.98,7.8
AST-1162,DXB-Edge-02,UPS,2022-12-04,18.34,3.5
AST-1163,LHR-Core-02,PDU,2021-01-15,31.19,5.3
AST-1164,LHR-Core-02,Fire Panel,2020-01-26,97.4,6.3
AST-1165,MUM-Zone-A,Router,2016-02-25,39.74,10.2
AST-1166,MUM-Zone-A,Chiller,2018-11-25,31.39,7.5
AST-1167,FRA-Core-01,Fire Panel,2021-05-15,56.83,5.0
AST-1168,DXB-Edge-02,PDU,2015-05-20,99.85,11.0
AST-1169,LHR-Core-02,PDU,2017-11-10,72.72,8.5
AST-1170,DXB-Core-01,Fire Panel,2020-06-19,40.84,5.9
AST-1171,DXB-Edge-02,Fire Panel,2022-10-04,52.03,3.6
AST-1172,SIN-Core-01,PDU,2015-08-14,106.35,10.8
AST-1173,DXB-Core-01,Generator,2021-05-11,22.55,5.0
AST-1174,MUM-Zone-A,Generator,2022-05-21,94.46,4.0
AST-1175,DXB-Core-01,PDU,2021-02-10,59.5,5.3
AST-1176,LHR-Core-02,Chiller,2022-01-18,94.37,4.3
AST-1177,MUM-Zone-A,CRAC,2016-05-25,55.73,10.0
AST-1178,MUM-Zone-A,UPS,2019-12-09,55.69,6.4
AST-1179,DXB-Core-01,CRAC,2015-05-13,113.08,11.0
AST-1180,MUM-Zone-A,Chiller,2018-04-18,111.68,8.1
AST-1181,DXB-Core-01,Fire Panel,2017-10-03,61.21,8.6
AST-1182,MUM-Zone-A,Chiller,2021-11-12,82.25,4.5
AST-1183,DXB-Edge-02,Chiller,2019-11-30,77.38,6.5
AST-1184,DXB-Core-01,Fire Panel,2018-09-22,108.63,7.7
AST-1185,MUM-Zone-A,CRAC,2015-01-15,61.91,11.3
AST-1186,LHR-Core-02,UPS,2020-01-11,78.49,6.4
AST-1187,FRA-Core-01,PDU,2022-07-21,32.13,3.8
AST-1188,LHR-Core-02,Router,2022-06-30,16.8,3.9
AST-1189,FRA-Core-01,Router,2020-10-06,17.51,5.6
AST-1190,MUM-Zone-A,PDU,2021-01-19,55.17,5.3
AST-1191,SIN-Core-01,CRAC,2017-10-10,87.61,8.6
AST-1192,DXB-Core-01,Chiller,2015-08-25,87.12,10.7
AST-1193,DXB-Edge-02,Fire Panel,2018-08-22,24.6,7.7
AST-1194,DXB-Core-01,Router,2015-03-28,27.1,11.1
AST-1195,SIN-Core-01,Generator,2023-03-09,102.19,3.2
AST-1196,SIN-Core-01,Generator,2018-08-24,85.47,7.7
AST-1197,DXB-Edge-02,Router,2015-11-13,120.48,10.5
AST-1198,LHR-Core-02,Chiller,2017-01-14,57.3,9.3
AST-1199,DXB-Edge-02,UPS,2020-06-11,96.78,5.9
AST-1200,MUM-Zone-A,CRAC,2023-01-27,30.38,3.3
AST-1201,DXB-Core-01,Generator,2020-06-07,49.88,5.9
AST-1202,LHR-Core-02,Generator,2017-12-17,103.48,8.4
AST-1203,DXB-Edge-02,Chiller,2017-11-11,22.34,8.5
AST-1204,FRA-Core-01,Router,2019-04-21,38.22,7.1
AST-1205,FRA-Core-01,CRAC,2015-02-12,13.97,11.3
AST-1206,FRA-Core-01,UPS,2017-11-15,44.99,8.5
AST-1207,SIN-Core-01,Fire Panel,2017-11-21,88.45,8.5
AST-1208,FRA-Core-01,CRAC,2021-12-12,53.62,4.4
AST-1209,LHR-Core-02,Router,2020-09-15,42.35,5.7
AST-1210,DXB-Core-01,Generator,2021-02-25,14.67,5.2
AST-1211,MUM-Zone-A,Router,2016-11-02,91.47,9.5
AST-1212,SIN-Core-01,CRAC,2019-01-16,52.03,7.3
AST-1213,SIN-Core-01,Generator,2020-09-27,84.14,5.6
AST-1214,FRA-Core-01,Generator,2023-02-03,63.2,3.3
AST-1215,LHR-Core-02,PDU,2018-01-12,88.78,8.3
AST-1216,SIN-Core-01,CRAC,2021-02-08,87.02,5.3
AST-1217,DXB-Edge-02,Fire Panel,2022-12-12,78.14,3.4
AST-1218,FRA-Core-01,CRAC,2020-06-12,90.2,5.9
AST-1219,DXB-Core-01,Fire Panel,2015-12-29,112.89,10.4
AST-1220,LHR-Core-02,PDU,2022-03-28,97.83,4.1
AST-1221,LHR-Core-02,Chiller,2020-11-04,25.23,5.5
AST-1222,LHR-Core-02,Generator,2019-03-26,85.29,7.1
AST-1223,DXB-Core-01,PDU,2017-03-13,12.79,9.2
AST-1224,FRA-Core-01,CRAC,2022-12-14,43.89,3.4
AST-1225,FRA-Core-01,Generator,2016-07-04,17.87,9.9
AST-1226,MUM-Zone-A,UPS,2022-05-25,103.66,4.0
AST-1227,MUM-Zone-A,Router,2022-01-06,58.2,4.4
AST-1228,LHR-Core-02,Chiller,2020-01-02,35.83,6.4
AST-1229,MUM-Zone-A,Router,2015-08-03,59.8,10.8
AST-1230,FRA-Core-01,Fire Panel,2015-01-01,103.26,11.4
AST-1231,MUM-Zone-A,Fire Panel,2016-09-29,77.55,9.6
AST-1232,FRA-Core-01,CRAC,2016-11-16,74.9,9.5
AST-1233,MUM-Zone-A,Fire Panel,2016-04-19,81.0,10.1
AST-1234,MUM-Zone-A,Generator,2021-12-26,47.45,4.4
AST-1235,DXB-Core-01,Chiller,2015-07-03,26.91,10.9
AST-1236,MUM-Zone-A,UPS,2021-02-22,48.01,5.2
AST-1237,DXB-Core-01,Chiller,2021-12-11,86.56,4.4
AST-1238,DXB-Core-01,PDU,2019-05-18,27.08,7.0
AST-1239,LHR-Core-02,Generator,2020-08-13,108.49,5.8
AST-1240,LHR-Core-02,Fire Panel,2018-06-22,23.54,7.9
AST-1241,LHR-Core-02,Chiller,2018-10-05,101.01,7.6
AST-1242,LHR-Core-02,Fire Panel,2021-02-10,13.55,5.3
AST-1243,FRA-Core-01,Router,2022-10-07,43.41,3.6
AST-1244,DXB-Edge-02,CRAC,2023-01-29,69.02,3.3
AST-1245,DXB-Edge-02,CRAC,2016-07-02,91.77,9.9
AST-1246,SIN-Core-01,Router,2015-05-22,64.5,11.0
AST-1247,DXB-Edge-02,UPS,2019-02-16,40.91,7.3
AST-1248,LHR-Core-02,Generator,2016-05-27,107.02,10.0
AST-1249,LHR-Core-02,PDU,2022-08-18,64.2,3.8
AST-1250,SIN-Core-01,Fire Panel,2017-10-27,65.41,8.6
AST-1251,LHR-Core-02,Chiller,2016-08-05,22.18,9.8
AST-1252,FRA-Core-01,CRAC,2021-08-15,80.16,4.8
AST-1253,DXB-Edge-02,UPS,2017-11-12,37.82,8.5
AST-1254,DXB-Core-01,Router,2015-04-08,69.32,11.1
AST-1255,DXB-Edge-02,Generator,2016-09-22,93.56,9.7
AST-1256,DXB-Edge-02,Generator,2016-02-21,37.49,10.2
AST-1257,MUM-Zone-A,Chiller,2020-01-09,112.51,6.4
AST-1258,FRA-Core-01,Fire Panel,2023-01-11,17.95,3.4
AST-1259,DXB-Edge-02,PDU,2018-07-12,13.55,7.9
AST-1260,MUM-Zone-A,Generator,2021-01-10,29.8,5.4
AST-1261,DXB-Core-01,Chiller,2022-07-20,68.85,3.8
AST-1262,DXB-Core-01,PDU,2018-02-16,66.28,8.3
AST-1263,FRA-Core-01,UPS,2021-05-10,64.68,5.0
AST-1264,FRA-Core-01,Generator,2019-07-13,31.48,6.9
AST-1265,MUM-Zone-A,Generator,2021-12-16,36.48,4.4
AST-1266,DXB-Edge-02,PDU,2019-03-16,96.7,7.2
AST-1267,DXB-Edge-02,UPS,2021-12-12,71.61,4.4
AST-1268,MUM-Zone-A,CRAC,2020-07-24,86.17,5.8
AST-1269,LHR-Core-02,Generator,2016-07-18,34.71,9.8
AST-1270,FRA-Core-01,CRAC,2019-09-14,81.14,6.7
AST-1271,FRA-Core-01,Chiller,2021-05-23,87.68,5.0
AST-1272,LHR-Core-02,PDU,2022-01-19,55.05,4.3
AST-1273,SIN-Core-01,PDU,2022-09-01,97.19,3.7
AST-1274,LHR-Core-02,Chiller,2015-05-13,45.51,11.0
AST-1275,SIN-Core-01,Generator,2021-05-15,34.45,5.0
AST-1276,DXB-Core-01,Generator,2020-05-23,29.42,6.0
AST-1277,LHR-Core-02,PDU,2015-08-31,113.65,10.7
AST-1278,FRA-Core-01,PDU,2015-09-07,27.51,10.7
AST-1279,LHR-Core-02,CRAC,2017-02-25,46.42,9.2
AST-1280,DXB-Core-01,Fire Panel,2016-06-19,95.38,9.9
AST-1281,SIN-Core-01,Generator,2022-11-12,98.87,3.5
AST-1282,FRA-Core-01,Fire Panel,2021-06-28,65.07,4.9
AST-1283,LHR-Core-02,Fire Panel,2019-04-07,103.11,7.1
AST-1284,SIN-Core-01,UPS,2016-08-22,95.3,9.7
AST-1285,FRA-Core-01,CRAC,2017-04-20,87.88,9.1
AST-1286,DXB-Core-01,PDU,2015-12-04,41.88,10.5
AST-1287,MUM-Zone-A,CRAC,2017-11-05,103.65,8.5
AST-1288,DXB-Edge-02,CRAC,2021-06-23,23.54,4.9
AST-1289,FRA-Core-01,Chiller,2017-05-17,63.18,9.0
AST-1290,FRA-Core-01,Chiller,2016-01-14,86.28,10.3
AST-1291,MUM-Zone-A,Router,2015-09-23,28.47,10.7
AST-1292,DXB-Core-01,Generator,2020-05-21,78.99,6.0
AST-1293,DXB-Core-01,PDU,2016-11-18,29.82,9.5
AST-1294,DXB-Edge-02,Fire Panel,2023-02-27,73.78,3.2
AST-1295,MUM-Zone-A,UPS,2023-01-22,72.94,3.3
AST-1296,SIN-Core-01,Fire Panel,2018-07-27,65.95,7.8
AST-1297,DXB-Edge-02,CRAC,2022-11-13,51.14,3.5
AST-1298,SIN-Core-01,Router,2015-02-28,30.63,11.2
AST-1299,DXB-Core-01,Router,2017-09-21,35.2,8.7
AST-1300,FRA-Core-01,Fire Panel,2022-02-19,58.67,4.2
AST-1301,DXB-Edge-02,Chiller,2017-09-30,86.19,8.6
AST-1302,MUM-Zone-A,Router,2017-12-30,60.86,8.4
AST-1303,LHR-Core-02,UPS,2016-05-12,58.63,10.0
AST-1304,DXB-Core-01,Router,2019-11-28,15.5,6.5
AST-1305,DXB-Edge-02,UPS,2020-03-06,43.23,6.2
AST-1306,LHR-Core-02,Fire Panel,2015-12-09,41.98,10.4
AST-1307,DXB-Core-01,Fire Panel,2018-12-05,73.01,7.5
AST-1308,FRA-Core-01,Fire Panel,2018-02-20,44.06,8.2
AST-1309,DXB-Edge-02,CRAC,2017-05-05,114.32,9.0
AST-1310,SIN-Core-01,Router,2021-12-06,76.77,4.4
AST-1311,DXB-Core-01,Generator,2016-03-01,64.5,10.2
AST-1312,MUM-Zone-A,Router,2019-01-18,41.39,7.3
AST-1313,LHR-Core-02,PDU,2017-04-06,21.29,9.1
AST-1314,DXB-Edge-02,UPS,2017-04-30,26.18,9.1
AST-1315,MUM-Zone-A,Generator,2021-09-12,69.54,4.7
AST-1316,FRA-Core-01,CRAC,2017-05-11,31.81,9.0
AST-1317,LHR-Core-02,Chiller,2017-09-27,85.91,8.6
AST-1318,LHR-Core-02,Fire Panel,2022-10-23,98.82,3.6
AST-1319,LHR-Core-02,Generator,2018-11-04,36.2,7.5
AST-1320,MUM-Zone-A,Chiller,2017-08-05,97.41,8.8
AST-1321,FRA-Core-01,Generator,2017-03-06,77.61,9.2
AST-1322,MUM-Zone-A,Fire Panel,2015-04-12,24.33,11.1
AST-1323,DXB-Edge-02,Fire Panel,2021-10-23,43.52,4.6
AST-1324,DXB-Core-01,Router,2016-08-23,37.46,9.7
AST-1325,DXB-Core-01,Router,2018-10-28,20.46,7.6
AST-1326,LHR-Core-02,PDU,2015-05-06,119.18,11.0
AST-1327,MUM-Zone-A,Router,2021-05-15,85.18,5.0
AST-1328,SIN-Core-01,PDU,2022-01-11,107.07,4.4
AST-1329,LHR-Core-02,CRAC,2020-02-10,97.61,6.3
AST-1330,MUM-Zone-A,CRAC,2016-12-01,46.04,9.5
AST-1331,LHR-Core-02,PDU,2017-08-28,116.33,8.7
AST-1332,FRA-Core-01,UPS,2020-06-19,98.71,5.9
AST-1333,DXB-Edge-02,Chiller,2019-07-04,101.92,6.9
AST-1334,MUM-Zone-A,Generator,2022-08-05,82.8,3.8
AST-1335,LHR-Core-02,Router,2019-03-23,85.4,7.2
AST-1336,SIN-Core-01,Chiller,2022-09-12,101.59,3.7
AST-1337,MUM-Zone-A,Fire Panel,2021-01-10,62.25,5.4
AST-1338,SIN-Core-01,UPS,2017-12-05,29.88,8.5
AST-1339,DXB-Core-01,Fire Panel,2019-11-03,107.48,6.5
AST-1340,FRA-Core-01,UPS,2018-07-13,64.18,7.8
AST-1341,DXB-Edge-02,PDU,2017-11-17,53.4,8.5
AST-1342,DXB-Core-01,CRAC,2015-01-23,101.7,11.3
AST-1343,DXB-Core-01,UPS,2016-01-17,104.98,10.3
AST-1344,DXB-Core-01,Router,2020-02-27,78.22,6.2
AST-1345,MUM-Zone-A,Chiller,2019-11-16,23.37,6.5
AST-1346,SIN-Core-01,UPS,2015-06-18,34.93,10.9
AST-1347,FRA-Core-01,UPS,2015-05-21,32.69,11.0
AST-1348,SIN-Core-01,Chiller,2017-09-20,86.72,8.7
AST-1349,MUM-Zone-A,Router,2015-08-01,44.9,10.8
AST-1350,FRA-Core-01,CRAC,2017-06-19,53.19,8.9
AST-1351,SIN-Core-01,Fire Panel,2019-02-21,29.59,7.2
AST-1352,DXB-Core-01,Generator,2018-07-25,54.85,7.8
AST-1353,LHR-Core-02,CRAC,2020-06-21,53.2,5.9
AST-1354,DXB-Core-01,Fire Panel,2022-09-19,17.17,3.7
AST-1355,DXB-Edge-02,Router,2019-04-02,104.8,7.1
AST-1356,MUM-Zone-A,Generator,2022-11-16,46.22,3.5
AST-1357,DXB-Core-01,PDU,2016-03-01,48.48,10.2
AST-1358,SIN-Core-01,Generator,2022-05-26,28.75,4.0
AST-1359,MUM-Zone-A,Router,2019-04-01,46.01,7.1
AST-1360,FRA-Core-01,UPS,2017-11-01,95.38,8.5
AST-1361,FRA-Core-01,PDU,2019-11-16,87.1,6.5
AST-1362,FRA-Core-01,PDU,2019-01-07,106.93,7.4
AST-1363,FRA-Core-01,Router,2022-04-18,14.92,4.1
AST-1364,DXB-Edge-02,Generator,2018-12-26,101.49,7.4
AST-1365,DXB-Core-01,Router,2020-03-04,48.25,6.2
AST-1366,DXB-Core-01,Chiller,2017-08-21,72.25,8.7
AST-1367,DXB-Edge-02,UPS,2016-07-17,26.59,9.8
AST-1368,FRA-Core-01,CRAC,2019-06-14,106.61,6.9
AST-1369,DXB-Core-01,Fire Panel,2020-06-20,90.77,5.9
AST-1370,FRA-Core-01,PDU,2022-03-08,14.06,4.2
AST-1371,DXB-Core-01,PDU,2016-07-12,27.93,9.9
AST-1372,DXB-Edge-02,Router,2018-03-08,114.58,8.2
AST-1373,FRA-Core-01,Router,2022-04-20,25.82,4.1
AST-1374,MUM-Zone-A,Router,2019-08-30,20.18,6.7
AST-1375,DXB-Edge-02,Fire Panel,2016-04-16,104.06,10.1
AST-1376,MUM-Zone-A,Chiller,2021-12-02,87.31,4.5
AST-1377,LHR-Core-02,PDU,2022-07-19,104.27,3.8
AST-1378,FRA-Core-01,Generator,2018-05-12,105.2,8.0
AST-1379,LHR-Core-02,PDU,2019-08-10,75.45,6.8
AST-1380,DXB-Edge-02,Chiller,2015-06-24,37.61,10.9
AST-1381,DXB-Edge-02,Chiller,2018-12-27,77.17,7.4
AST-1382,SIN-Core-01,UPS,2022-04-26,82.42,4.1
AST-1383,MUM-Zone-A,Chiller,2022-08-18,62.57,3.8
AST-1384,DXB-Core-01,PDU,2016-01-04,14.88,10.4
AST-1385,LHR-Core-02,PDU,2017-01-04,96.35,9.4
AST-1386,SIN-Core-01,Router,2020-05-14,32.56,6.0
AST-1387,DXB-Edge-02,Fire Panel,2018-07-21,96.48,7.8
AST-1388,DXB-Edge-02,CRAC,2018-04-23,107.05,8.1
AST-1389,SIN-Core-01,Chiller,2022-05-30,51.99,4.0
AST-1390,DXB-Core-01,Router,2021-05-02,65.19,5.0
AST-1391,SIN-Core-01,UPS,2021-08-30,11.18,4.7
AST-1392,MUM-Zone-A,Fire Panel,2016-07-15,18.21,9.8
AST-1393,DXB-Edge-02,CRAC,2020-02-04,68.12,6.3
AST-1394,DXB-Edge-02,Fire Panel,2018-08-27,80.66,7.7
AST-1395,MUM-Zone-A,PDU,2020-01-21,46.69,6.3
AST-1396,FRA-Core-01,PDU,2017-08-29,114.59,8.7
AST-1397,DXB-Edge-02,UPS,2017-12-26,80.09,8.4
AST-1398,LHR-Core-02,Router,2015-11-05,76.44,10.5
